 c_clave_grupo_productos |                                                          nombre_grupo                                                          
 10301500                | Rosas cortadas frescas azules o lavanda o púrpura
 10301600                | Rosas cortadas frescas chocolate o marrón
 10301700                | Rosas cortadas frescas crema
 10301800                | Rosas cortadas frescas verdes o lima
 10301900                | Rosas cortadas frescas rosado claro
 10302000                | Rosas cortadas frescas multicolor rosados
 10302100                | Rosas cortadas frescas anaranjados
 10302200                | Rosas cortadas frescas durazno
 10302300                | Rosas cortadas frescas rosados
 10302400                | Rosas cortadas frescas rojos o burgundy
 10302500                | Rosas cortadas frescas sweetheart
 10302600                | Rosas cortadas frescas blancos
 10302700                | Rosas cortadas frescas amarillos
 10302800                | Rosas cortadas frescas spray
 10311500                | Anturios cortados frescos
 10311600                | Allium cortado fresco
 10311700                | Astromelia cortada fresca
 10311800                | Amaranto cortado fresco
 10311900                | Amaryllis cortado fresco
 10312000                | Anémona cortada fresca
 10312100                | Asclepia cortada fresca
 10312200                | Aster cortada fresca
 10312300                | Berzelia cortada fresca
 10312400                | Bouvaria cortada fresca
 10312500                | Brodiaea cortada fresca
 10312600                | Calla cortada fresca
 10312800                | Celosia cortada fresca
 10312900                | Narciso cortado fresco
 10313000                | Dalia cortada fresca
 10313100                | Delphinium cortado fresco
 10313200                | Clavel (dianthus) cortado fresco
 10313300                | Eremruses cortadas frescas
 10313400                | Brezo (erica) cortada fresca
 10313500                | Euphorbia cortada fresca
 10313600                | Fresia cortada fresca
 10313700                | Ajedrezada cortada fresca
 10313800                | Hiniesta cortada fresca
 10313900                | Margarita cortada fresca
 10314000                | Jengibre cortado fresco
 10314100                | Gladiolo cortado fresco
 10314200                | Godetia cortada fresca
 10314300                | Bromelia cortada fresca
 10314400                | Gypsophilia cortada fresca
 10314500                | Brezo cortado fresco
 10314600                | Heliconia cortada fresca
 10314700                | Jacinto cortado fresco
 10314800                | Hydrangea cortada fresca
 10314900                | Iris cortada fresca
 10315000                | Pata de canguro cortada fresca
 10315100                | Delfinio cortado fresco
 10315200                | Lepto cortado fresco
 10315300                | Lila cortada fresca
 10315400                | Azucena cortada fresca
 10315500                | Lavanda cortada fresca
 10315600                | Lisianthus cortado fresco
 10315700                | Muscari cortada fresca
 10315800                | Narciso cortado fresco
 10316000                | Pimientos ornamentales cortados frescos
 10316100                | Estrella de Belén cortada fresca
 10316200                | Peonia cortada fresca
 10316300                | Banksia cortada fresca
 10316400                | Ranúculo cortado fresco
 10316500                | Escabiosa cortada fresca
 10316600                | Retama de escobas cortada fresca
 10316700                | Boca de dragón cortada fresca
 10316800                | Romero del pantano cortada fresca
 10316900                | Matiola cortada fresca
 10317000                | Girasol cortada fresca
 10317100                | Guisante de olor cortado fresco
 10317200                | Cardo cortado fresco
 10317300                | Tulipán cortado fresco
 10317400                | Flor de cera cortada fresca
 10317500                | Hierba de aquiles cortada fresca
 10317600                | Zinia cortada fresca
 10317700                | Forsythia cortada fresca
 10317800                | Geranio cortado fresco
 10317900                | Amaryllis cortada fresca
 10318000                | Rubdeckia cortada fresca
 10318100                | Protea cortada fresca
 10318200                | leucadendron cortado fresco
 10318300                | leucospermum cortado fresco
 10321500                | Agapanto cortado fresco
 10321600                | Alchimilla cortada fresca
 10321700                | Astilbe cortado fresco
 10321800                | angélica cortada fresca
 10321900                | ajenjo cortado fresco
 10322000                | Flor de alcachofa cortada fresca
 10322100                | Astrantia cortada fresca
 10322200                | Flor de banano cortada fresca
 10322300                | Baptisia cortada fresca
 10322400                | Boronia cortada fresca
 10322500                | Bromelia cortada fresca
 10322600                | Brunia cortada fresca
 10322700                | Catalea cortada fresca
 10322800                | Calcynia cortada fresca
 10322900                | Caléndula cortada fresca
 10323000                | Campanilla cortada fresca
 10323100                | Cestrum cortado fresco
 10323200                | Chasmante cortada fresca
 10323300                | Costus cortada fresca
 10323400                | Vara de San José cortada fresca
 10323500                | Lirio del Fuego cortado fresco
 10323600                | Flor del muelle cortada fresca
 10323700                | Planta erizo cortada fresca
 10323800                | Manzanilla cortada fresca
 10323900                | Nomeolvides cortada fresca
 10324000                | Gallardia cortada fresca
 10324100                | Genciana cortada fresca
 10324200                | Gladiolo cortado fresco
 10324300                | Gloriosa cortada fresca
 10324400                | Violeta silvestre cortada fresca
 10324500                | Eléboro cortado fresco
 10324600                | Ixia cortada fresca
 10324700                | Liatrises cortadas frescas
 10324800                | Lysimachia cortada fresca
 10324900                | Maraca cortada fresca
 10325000                | Caléndula cortada fresca
 10325100                | Mimosa cortada fresca
 10325200                | Nerina cortada fresca
 10325300                | Flor de nogal cortada fresca
 10325400                | Phlox cortada fresca
 10325500                | physostegia cortada fresca
 10325600                | Saponaria cortada fresca
 10325700                | Sarracenias cortadas frescas
 10325800                | Sicilia cortada fresca
 10325900                | Sedum cortada fresca
 10326000                | Especies individuales o variedades de flores cortadas frescas
 10326100                | Sello de salomón (polygonato) cortada fresca
 10326200                | Tanaceto cortado fresco
 10326300                | Traquelio cortado fresco
 10326400                | Tuberosas cortadas frescas
 10326500                | Tweedias cortadas frescas
 10326600                | Verónicas cortadas frescas
 10326700                | Watsonias cortadas frescas
 10331500                | Crisantemo cortado fresco pompón
 10331600                | Crisantemo cortado fresco pompón margarita
 10331700                | Crisantemo cortado fresco espollado cremon
 10331800                | Crisantemo cortado fresco espollado football
 10331900                | Crisantemo spider cortado fresco
 10332000                | Crisantemo cortado fresco  novelty
 10332100                | Crisantemo cortado fresco santini
 10341500                | Bouquet cortado fresco de rosa
 10341600                | Bouquet cortado fresco de clavel
 10341700                | Bouquet cortado fresco de mini clavel
 10341800                | Bouquet cortado fresco de lirio
 10341900                | Bouquet cortado fresco de crisantemo pompón
 10342000                | Bouquet cortado fresco de astromelia
 10342100                | Bouquet cortado fresco de flores tropicales
 10342200                | Bouquet cortado fresco floral mixto
 10351500                | Bouquet cortado fresco de clavel de floración sencilla
 10351600                | Bouquet cortado fresco de clavel min o spray
 10361500                | Orquidea cypripedium  o pantuflas de dama cortada fresca
 10361600                | Orquídea mocara cortada fresca
 10361700                | Orquídea catleya cortada fresca
 10361800                | Orquídea disa cortada fresca
 10361900                | Orquídea arachnis cortada fresca
 10362000                | Orquídea phalaenopsis cortada fresca
 10362100                | Orquídea dendrobium cortada fresca
 10362200                | Orquídea cymbidium cortada fresca
 10362300                | Orquídea oncidium cortada fresca
 10362400                | Orquídea vanda cortada fresca
 10401500                | Rosas cortadas secas azules o lavanda o púrpura
 10401600                | Rosas cortadas secas chocolate o marrón
 10401700                | Rosas cortadas secas crema
 10401800                | Rosas cortadas secas verdes o lima
 10401900                | Rosas cortadas secas rosado claro
 10402000                | Rosas cortadas secas multicolor rosados
 10402100                | Rosas cortadas secas anaranjados
 10402200                | Rosas cortadas secas durazno
 10402300                | Rosas cortadas secas rosados
 10402400                | Rosas cortadas secas rojos o burgundy
 10402500                | Rosas cortadas secas sweetheart
 10402600                | Rosas cortadas secas blancos
 10402700                | Rosas cortadas secas amarillos
 10402800                | Rosas cortadas secas spray
 10411500                | Anturios cortado secos
 10411600                | Allium cortado seco
 10411700                | Astromelia cortada seca
 10411800                | Amaranto cortado seco
 10411900                | Amaryllis cortado seco
 10412000                | Anémona cortada seca
 10412100                | Asclepia cortada seca
 10412200                | Aster cortada seca
 10412300                | Berzelia cortada seca
 10412400                | Bouvaria cortada seca
 10412500                | Brodiaea cortada seca
 10412600                | Calla cortada seca
 10412800                | Celosia cortada seca
 10412900                | Narciso cortado seco
 10413000                | Dalia cortada seca
 10413100                | Delphinium cortado seco
 10413200                | Clavel (dianthus) cortado seco
 10413300                | Eremruses cortadas secas
 10413400                | Brezo (erica) cortada seca
 10413500                | Euphorbia cortada seca
 10413600                | Fresia cortada seca
 10413700                | Ajedrezada cortada seca
 10413800                | Hiniesta cortada seca
 10413900                | Margarita cortada seca
 10414000                | Jengibre cortado seco
 10414100                | Gladiolo cortado seco
 10414200                | Godetia cortada seca
 10414300                | Bromelia cortada seca
 10414400                | Gypsophilia cortada seca
 10414500                | Brezo cortado seco
 10414600                | Heliconia cortada seca
 10414700                | Jacinto cortado seco
 10414800                | Hydrangea cortada seca
 10414900                | Iris cortada seca
 10415000                | Pata de canguro cortada seca
 10415100                | Delfinio cortado seco
 10415200                | Lepto cortado seco
 10415300                | Lila cortada seca
 10415400                | Azucena cortada seca
 10415500                | Lavanda cortada seca
 10415600                | Lisianthus cortado seco
 10415700                | Muscari cortada seca
 10415800                | Narciso cortado seco
 10416000                | Pimientos ornamentales cortado secos
 10416100                | Estrella de Belén cortada seca
 10416200                | Peonia cortada seca
 10416300                | Banksia cortada seca
 10416400                | Ranúculo cortado seco
 10416500                | Escabiosa cortada seca
 10416600                | Retama de escobas cortada seca
 10416700                | Boca de dragón cortada seca
 10416800                | Romero del pantano cortada seca
 10416900                | Matiola cortada seca
 10417000                | Girasol cortada seca
 10417100                | Guisante de olor cortado seco
 10417200                | Cardo cortado seco
 10417300                | Tulipán cortado seco
 10417400                | Flor de cera cortada seca
 10417500                | Hierba de aquiles cortada seca
 10417600                | Zinia cortada seca
 10417700                | Forsythia cortada seca
 10417800                | Geranio cortado seco
 10417900                | Amaryllis cortada seca
 10418000                | Rubdeckia cortada seca
 10418100                | Protea cortada seca
 10418200                | leucadendron cortado seco
 10418300                | leucospermum cortado seco
 10421500                | Agapanto cortado seco
 10421600                | Alchimilla cortada seca
 10421700                | Astilbe cortado seco
 10421800                | angélica cortada seca
 10421900                | ajenjo cortado seco
 10422000                | Flor de alcachofa cortada seca
 10422100                | Astrantia cortada seca
 10422200                | Flor de banano cortada seca
 10422300                | Baptisia cortada seca
 10422400                | Boronia cortada seca
 10422500                | Bromelia cortada seca
 10422600                | Brunia cortada seca
 10422700                | Catalea cortada seca
 10422800                | Calcynia cortada seca
 10422900                | Caléndula cortada seca
 10423000                | Campanilla cortada seca
 10423100                | Cestrum cortado seco
 10423200                | Chasmante cortada seca
 10423300                | Costus cortada seca
 10423400                | Vara de San José cortada seca
 10423500                | Lirio del Fuego cortado seco
 10423600                | Flor del muelle cortada seca
 10423700                | Planta erizo cortada seca
 10423800                | Manzanilla cortada seca
 10423900                | Nomeolvides cortada seca
 10424000                | Gallardia cortada seca
 10424100                | Genciana cortada seca
 10424200                | Gladiolo cortado seco
 10424300                | Gloriosa cortada seca
 10424400                | Violeta silvestre cortada seca
 10424500                | Eléboro cortado seco
 10424600                | Ixia cortada seca
 10424700                | Liatrises cortadas secas
 10424800                | Lysimachia cortada seca
 10424900                | Maraca cortada seca
 10425000                | Caléndula cortada seca
 10425100                | Mimosa cortada seca
 10425200                | Nerina cortada seca
 10425300                | Flor de nogal cortada seca
 10425400                | Phlox cortada seca
 10425500                | physostegia cortada seca
 10425600                | Saponaria cortada seca
 10425700                | Sarracenias cortadas secas
 10425800                | Sicilia cortada seca
 10425900                | Sedum cortada seca
 10426000                | Especies individuales o variedades de flores cortadas secas
 10426100                | Sello de salomón (polygonato) cortada seca
 10426200                | Tanaceto cortado seco
 10426300                | Traquelio cortado seco
 10426400                | Tuberosas cortadas secas
 10426500                | Tweedias cortadas secas
 10426600                | Verónicas cortadas secas
 10426700                | Watsonias cortadas secas
 10431500                | Crisantemo cortado seco pompón
 10431600                | Crisantemo cortado seco pompón margarita
 10431700                | Crisantemo cortado seco espollado cremon
 10431800                | Crisantemo cortado seco espollado football
 10431900                | Crisantemo spider cortado seco
 10432000                | Crisantemo cortado seco  novelty
 10432100                | Crisantemo cortado seco santini
 10441500                | Clavel cortado seco de floración sencilla
 10441600                | Clavel cortado seco mini o spray
 10451500                | Orquidea cypripedium  o pantuflas de dama cortada seca
 10451600                | Orquídea mocara cortada seca
 10451700                | Orquídea catleya cortada seca
 10451800                | Orquídea disa cortada seca
 10451900                | Orquídea arachnis cortada seca
 10452000                | Orquídea phalaenopsis cortada seca
 10452100                | Orquídea dendrobium cortada seca
 10452200                | Orquídea cymbidium cortada seca
 10452300                | Orquídea oncidium cortada seca
 10452400                | Orquídea vanda cortada seca
 10501500                | Aspidistras cortadas frescas
 10501600                | Chili verde cortado fresco
 10501700                | Haya cortada fresca
 10501800                | Hojas de eucalipto cortadas prescas
 10501900                | Helechos cortados frescos
 10502000                | Hojas o follajes cortados frescos
 10502100                | Pastos costados frescos
 10502200                | mora huckleberry fresca cortada
 10502300                | Hiedra cortada fresca
 10502400                | Integrifolia cortada fresca
 10502500                | Mirto cortado fresco
 10502600                | Hojas frescas cortadas de roble
 10502700                | Oregonia fresca cortada
 10502800                | pittosporum fresco cortado
 10502900                | Hojas frescas cortadas de especies sencillas
 11101500                | Minerales
 11101600                | Minerales metálicos
 11101700                | Metales de Base
 11101800                | Metales preciosos
 11101900                | Productos minerales intermedios, procesados y refinados
 11111500                | Barro y Tierra
 11111600                | Piedra
 11111700                | Arena
 11111800                | Arcillas
 11121500                | Savia
 11121600                | Madera
 11121700                | Productos secundarios de la explotación forestal
 11121800                | Fibras de plantas
 11121900                | Productos de perfumería
 11122000                | Productos de madera diseñados
 11131500                | Cuero, pieles o materiales textiles de animales
 11131600                | Otros productos de animales
 11141600                | Desechos no metálicos y chatarra
 11141700                | Desperdicios o restos de alimentos y tabaco
 11151500                | Fibras
 11151600                | Hebras
 11151700                | Hilos
 11161500                | Tejidos de seda
 11161600                | Tejidos de lana
 11161700                | Tejidos de algodón
 11161800                | Tejidos sintéticos
 11162000                | Tejidos de materiales vegetales no de algodón
 11162100                | Tejidos o telas especiales
 11162200                | Telas no tejidas
 11162300                | Cueros
 11162400                | Guata
 11171500                | Aceros básicos
 11171600                | Aleaciones de acero inoxidable
 11171700                | Aceros rápidos
 11171800                | Superaleaciones de níquel
 11171900                | Superaleaciones de titanio
 11172000                | Aleaciones de aluminio
 11172100                | Superaleaciones de cobalto
 11172200                | Aleaciones con base de magnesio
 11172300                | Aleaciones con base de manganeso
 11181500                | Óxidos metálicos no férreos
 11191500                | Cuerpos sólidos de metal
 11191600                | Chatarra
 11191700                | Virutas
 11191800                | Subproductos del metal
 12131500                | Explosivos
 12131600                | Pirotecnia
 12131700                | Encendedores
 12131800                | Propulsores
 12141500                | Metales de tierra
 12141600                | Metales de tierra rara
 12141700                | Metales de transición
 12141800                | Metales álcalis
 12141900                | No-metales y gases elementales y puros
 12142000                | Gases nobles
 12142100                | Gases naturales y gases mixtos
 12142200                | Isótopos
 12161500                | Indicadores y reactivos
 12161600                | Catalizadores
 12161700                | Amortiguadores
 12161800                | Coloides
 12161900                | Surfactantes
 12162000                | Plastificantes
 12162100                | Retardadores de llama
 12162200                | Anti-oxidantes
 12162300                | Agentes de curación
 12162400                | Rompedores de polímero
 12162500                | Rompedores de emulsión
 12162600                | Estabilizadores de arcilla
 12162700                | Aditivos de pérdida de fluido
 12162800                | Reductores de fricción
 12162900                | Agentes de control de parafina asfaltenos
 12163000                | Mezclas para quitar barro
 12163100                | Anti lodo (sludger)
 12163200                | Agentes de migración anti gas
 12163300                | Agentes de expansión
 12163400                | Extensores
 12163500                | Sellador de pozo petrolífero
 12163600                | Inhibidores de corrosión
 12163700                | Reguladores de hidrato de gas
 12163800                | Limpiadores químicos
 12163900                | Reguladores de sarro
 12164000                | Bactericidas
 12164100                | In situ
 12164200                | Retardadores
 12164300                | Controladores de hierro
 12164400                | No emulsificadoras
 12164500                | Aditivos de alimentos y fármacos
 12164600                | Modificadores de papel, plástico y tela
 12164700                | Antisépticos industriales
 12164800                | Agentes reductores de agua
 12164900                | Agentes de impermeabilización
 12165000                | Agentes anti encogimiento
 12165100                | Químicos para mejorar la recuperación de petróleo
 12171500                | Tintes
 12171600                | Pigmentos
 12171700                | Compuestos de colores y dispersiones
 12181500                | Ceras
 12181600                | Aceites
 12191500                | Solventes hidrocarbonatos
 12191600                | Solventes oxigenados
 12352000                | Compuestos aromáticos y alifáticos
 12352100                | Derivados orgánicos y compuestos sustituidos
 12352200                | Productos bioquímicos
 12352300                | Compuestos inorgánicos
 12352400                | Mezclas
 12352500                | Fijadores
 12352600                | Compuestos fluorados
 13101500                | Caucho natural
 13101600                | Caucho procesado y sintético
 13101700                | Elastómeros
 13101900                | Plásticos termoformados
 13102000                | Plásticos termoplásticos
 13111000                | Resinas
 13111100                | Colofonia
 13111200                | Películas
 13111300                | Espumas
 14101500                | Materias primas
 14111500                | Papel de imprenta y papel de escribir
 14111600                | Papel fantasía
 14111700                | Productos de papel para uso personal
 14111800                | Papeles de uso comercial
 14121500                | Cartón y papel para embalaje
 14121600                | Papel de seda
 14121700                | Papeles laminados
 14121800                | Papeles recubiertos
 14121900                | Papel prensa y de offset
 14122100                | Papeles de base sin recubrir
 14122200                | Papeles especializados de uso industrial
 15101500                | Petróleo y Destilados
 15101600                | Combustibles sólidos o gelificados
 15101700                | Aceites combustibles
 15101800                | Combustibles o biocombustibles líquidos basados en plantas
 15111500                | Combustibles gaseosos
 15111700                | Aditivos para carburante
 15121500                | Preparados lubricantes
 15121800                | Anticorrosivos
 15121900                | Grasas
 15131500                | Combustible nuclear
 15131600                | Instalación de combustible de fisión
 20101500                | Equipo de corte
 20101600                | Cribas y equipos de alimentación
 20101700                | Trituradoras, quebrantadoras y amoladores
 20101800                | Sistemas mecanizados de soporte en tierra
 20101900                | Sistemas secundarios de ruptura de roca
 20102000                | Sistemas de exploración y desarrollo
 20102100                | Barrenas de rocas
 20102200                | Maquinaria de cargue de explosivos
 20102300                | Vehículos de servicio de minería subterránea
 20111500                | Equipo de exploración y perforación
 20111600                | Maquinaria de perforación y explotación
 20111700                | Accesorios de perforación y explotación
 20121000                | Equipo acidificante
 20121100                | Equipo para cementar
 20121200                | Equipo de fracturar
 20121300                | Equipo de control de arena
 20121400                | Herramientas y equipo de terminación
 20121500                | Herramientas convencionales de perforación
 20121600                | Brocas de barrena
 20121700                | Herramientas de pesca
 20121800                | Equipo de perforación direccional
 20121900                | Equipo de medir y registro del pozo
 20122000                | Equipo de prueba y Accesorios
 20122100                | Equipo de Perforación
 20122200                | Equipo de prueba del pozo
 20122300                | Equipo de Slickline - Cable de Recuperación
 20122400                | Equipo de sistemas de producción
 20122500                | Equipo para tubería flexible
 20122600                | Equipo sísmico
 20122700                | Mercancía tubular para campo petrolero
 20122800                | Equipo y plataformas de reacondicionamiento y perforación
 20122900                | Equipo de registrar datos de superficie
 20123000                | Equipo multilateral
 20123100                | Herramienta para salida de revestimientos
 20123200                | Equipo de expansión en profundidad
 20123300                | Herramientas para revestimientos mientras se perfora
 20131000                | Lodo de perforar y materiales
 20131100                | Apuntalantes de fracturamiento de pozo
 20131200                | Fluidos de completar
 20131300                | Cemento de pozo petrolero
 20141000                | Equipo de cabeza de pozo
 20141100                | Sistemas de inyección químicos
 20141200                | Equipo de desarenar
 20141300                | Anclas y bombas de chorro de barrenas hacia abajo
 20141400                | Accesorios de producción de barrenas hacia abajo
 20141500                | Bombas de barrenas hacia abajo
 20141600                | Bombas de exportación
 20141700                | Plataformas de almacenaje y producción a poca distancia de la costa
 20141800                | Contadores para medir el flujo de producción del pozo
 20141900                | Equipo de tratamiento de gas
 20142000                | Regeneradores de glicol
 20142100                | Tratadores de calentadores
 20142200                | Calentadores de línea
 20142300                | Deslizaderos de inyección de producción
 20142400                | Equipo para el lecho del océano
 20142500                | Equipo para tratar agua producida
 20142600                | Instrumentación del sistema de control de producción
 20142700                | Unidades de bombear
 20142800                | Separadores de producción
 20142900                | Tanques y recipientes almacenadores
 20143000                | Vástagos de succión
 20143300                | Equipo para servicio de oleoductos
 21101500                | Maquinaria agrícola para preparación del suelo
 21101600                | Maquinaria agrícola para siembra y plantado
 21101700                | Maquinaria agrícola para cosechar
 21101800                | Aparatos dispersores o aspersores para agricultura
 21101900                | Equipo para aves de corral y ganado
 21102000                | Maquinaria agrícola para limpieza, selección o clasificación
 21102100                | Maquinaria y equipo para transformación agrícola
 21102200                | Maquinaria y equipo para silvicultura
 21102300                | Equipo para invernadero
 21102400                | Equipo para insectos
 21111500                | Equipo de pesca comercial
 21111600                | Equipo para acuicultura
 22101500                | Maquinaria para trabajo de desmonte
 22101600                | Equipo de pavimentación
 22101700                | Componentes de equipo pesado
 22101800                | Grúas de elevación
 22101900                | Maquinaria y accesorios de construcción de edificios
 22102000                | Equipo y maquinaria de demolición de edificios
 23101500                | Maquinaria para trabajar madera, piedra, cerámica y similares
 23111500                | Maquinaria y equipo para destilado y transformación de petróleo
 23111600                | Maquinaria de hidrotratamiento
 23121500                | Maquinaria y accesorios para transformados textiles
 23121600                | Maquinaria, equipo y accesorios para trabajo textil
 23131500                | Equipo y suministros de trituración, lijado y pulido
 23131600                | Equipo y accesorios de facetaje
 23131700                | Equipo del cabbing
 23141600                | Maquinaria y accesorios para el preparado del cuero
 23141700                | Maquinaria y accesorios para trabajar y reparar cuero
 23151500                | Maquinaria, equipo y suministros para la elaboración de caucho y plástico
 23151600                | Maquinaria, equipo y suministros para la industria del cemento, cerámica y vidrio
 23151700                | Maquinaria, equipo y suministros de la industria óptica
 23151800                | Maquinaria, equipo y suministros de la industria farmacéutica
 23151900                | Maquinaria, equipo y suministros para la elaboración y el procesamiento de papel
 23152000                | Manejo del Web y maquinaria de control y equipo y suministros
 23152100                | Maquinaria y equipo de separación
 23152200                | Mesa y estantes para fabricación
 23152900                | Maquinaria empacadora
 23153000                | Dispositivos y sistemas de guía, posicionamiento y sujeción
 23153100                | Componentes y accesorios de maquinaria industrial
 23153200                | Robótica
 23153400                | Ensambladoras
 23153500                | Sistemas de pintura
